created_at,tweet_id,name,screen_name,retweet_count,text,mined_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
2020-11-15 02:15:44,1327797400690257920,Arizona Republican Party,AZGOP,299,"RT @conservatyler: What can you do in Arizona to #VerifytheVote?

1️⃣ Call your board of supervisors and tell them you want the hand count…",2021-03-01 21:20:55.084568,0,"[{'text': 'VerifytheVote', 'indices': [49, 63]}]",22075,,Twitter for iPhone,"What can you do in Arizona to #VerifytheVote?

1️⃣ Call your board of supervisors and tell them you want the hand count audit by PRECINCT. 

2️⃣ Ask the Board of Supervisors to hand count audit more than the legal minimum 2% of ballots. They can count all of them if the wanted!",None,None
2020-11-15 04:05:05,1327824918881259520,Arizona Republican Party,AZGOP,54,"RT @conservatyler: Contact Clint, Steve, Jack &amp; Bill and tell them we need to hand count audit BY PRECINCT.

The law says it must be by pre…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"Contact Clint, Steve, Jack &amp; Bill and tell them we need to hand count audit BY PRECINCT.

The law says it must be by precinct— this is important. 

Also ask them to hand count EVERY precinct— they can do that too! 

Call ASAP! https://t.co/4WwngIuZkO",None,None
2020-11-16 15:48:56,1328364440115265537,Arizona Republican Party,AZGOP,19628,RT @LisaMarieBoothe: The big irony is that the media says Trump is leading the party of hate while the Left burns down cities and beats peo…,2021-03-01 21:20:55.084568,0,[],22075,,Twitter Web App,The big irony is that the media says Trump is leading the party of hate while the Left burns down cities and beats people up.,None,None
2020-11-16 15:48:59,1328364451372797953,Arizona Republican Party,AZGOP,6795,"RT @GOPLeader: In the light of day, tremendous crowds of Americans peacefully rallied in Washington in support of President @realDonaldTrum…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter Web App,"In the light of day, tremendous crowds of Americans peacefully rallied in Washington in support of President @realDonaldTrump.

Then in the cover of darkness, dozens of Antifa thugs launched violent attacks in the streets. Conservatives will not be intimidated by cowards!",None,None
2020-11-16 15:49:11,1328364500651712512,Arizona Republican Party,AZGOP,15453,"RT @DineshDSouza: Hey @JoeBiden, are you going to denounce this? https://t.co/uilzBZRrnL",2021-03-01 21:20:55.084568,0,[],22075,,Twitter Web App,"Hey @JoeBiden, are you going to denounce this? https://t.co/uilzBZRrnL",None,None
2020-11-16 16:00:01,1328367227955937281,Arizona Republican Party,AZGOP,129,"In today's update, Chairwoman @kelliwardaz educates the media on when a nominee becomes president-elect and encourages Arizona voters to stay the course because the fight is far from over. https://t.co/3WVt8s1x7x",2021-03-01 21:20:55.084568,423,[],22075,,Twitter Media Studio,None,None,None
2020-11-16 18:14:34,1328401087037022211,Arizona Republican Party,AZGOP,56,Good idea! https://t.co/e2rQFec7up,2021-03-01 21:20:55.084568,241,[],22075,,Twitter for iPhone,None,None,None
2020-11-16 18:15:11,1328401242469515264,Arizona Republican Party,AZGOP,18,#CountEveryLegalVote https://t.co/XkMmM5ugKq,2021-03-01 21:20:55.084568,63,"[{'text': 'CountEveryLegalVote', 'indices': [0, 20]}]",22075,,Twitter for iPhone,None,None,None
2020-11-16 18:22:01,1328402961806946304,Arizona Republican Party,AZGOP,1355,"RT @ChadPergram: GOP AZ Reps/Gosar/Schweikert ask for 100% audit of ballots in Maricopa County. Biggs: ""I am calling on the Maricopa County…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"GOP AZ Reps/Gosar/Schweikert ask for 100% audit of ballots in Maricopa County. Biggs: ""I am calling on the Maricopa County Board of Supervisors to go above and beyond to assure the public of the integrity of Maricopa County’s elections. Let’s leave no stone unturned""",None,None
2020-11-16 18:31:02,1328405231097372672,Arizona Republican Party,AZGOP,62,"Thank you, @RepAndyBiggsAZ! https://t.co/Lw16iDCc1W",2021-03-01 21:20:55.084568,386,[],22075,,Twitter for iPhone,None,None,None
