,Datetime,Tweet Id,Text,Username
62,2021-01-16 05:47:29+00:00,1350318737530916864,"“John Weaver, former aide to John McCain, acknowledges ‘inappropriate’ messages” He was also a registered agent for Russia! https://t.co/cMsFx2zuHJ",AZGOP
63,2021-01-15 17:38:51+00:00,1350135372139819009,"It’s Friday, January 15th 2021, and the Maricopa Board of Supervisors still have not audited the vote.",AZGOP
64,2021-01-14 20:43:29+00:00,1349819449302417408,When at first you don’t succeed? Arizona Democrat members of Congress have lost their minds! https://t.co/EsCsNUVHfl,AZGOP
65,2021-01-14 20:30:15+00:00,1349816118077132801,"The Extreme Left is tearing our country apart at the seams.

Chairwoman @kelliwardaz issued the following statement on the Democrat Party's divisive decision to impeach President Trump a second time: https://t.co/HEYlTot4v7",AZGOP
66,2021-01-14 20:07:59+00:00,1349810512578576386,"It’s Thursday, January 14th 2021, and the Maricopa Board of Supervisors still have not audited the vote.",AZGOP
67,2021-01-14 04:27:00+00:00,1349573708117995520,"It’s Wednesday, January 13th 2021, and the Maricopa Board of Supervisors still have not audited the vote.",AZGOP
68,2021-01-13 21:17:54+00:00,1349465722523512837,"So @YouTube just removed this video from our library for violating their ""child safety policy."" Huh? https://t.co/ZY9JEH1hIa https://t.co/nwYLfHUsfL",AZGOP
69,2021-01-13 20:27:30+00:00,1349453038986043392,As grave a mistake as invading Iraq over WMDs that they never had? Or are the censures worse? https://t.co/x0YNdyzqQl,AZGOP
70,2021-01-13 16:10:23+00:00,1349388331059085312,"In today's update, Chairwoman @kelliwardaz recaps the Opening Day of the 55th session of Arizona's State Legislature. #AZLeg https://t.co/eO84WhjUNb",AZGOP
71,2021-01-13 06:33:32+00:00,1349243165287485442,ELECTION INTEGRITY!!!! https://t.co/WzPUH345ba,AZGOP
72,2021-01-13 06:11:06+00:00,1349237518521126918,👀 https://t.co/psGmi3AtKV,AZGOP
73,2021-01-13 04:22:42+00:00,1349210239879446528,"Well said, @senatemajldr! 👏🇺🇸https://t.co/MZIKsgWcBe",AZGOP
74,2021-01-13 03:58:57+00:00,1349204262815875074,"Big Business, Fake News, Never Trumpers, Socialist Democrats, and Big Tech (not to be confused with Big Business, but there is some overlap) are all working in unison to defeat the greatest MOVEMENT the world has ever seen - #MAGA. But they will never silence the American People!",AZGOP
75,2021-01-13 03:34:53+00:00,1349198202809946113,OPEN OUR SCHOOLS! https://t.co/fXNG63YPJ8,AZGOP
76,2021-01-13 03:28:13+00:00,1349196526430474243,@andreaheart19 Stop stalking our page.,AZGOP
77,2021-01-13 03:26:13+00:00,1349196022749097991,You’re not a very good columnist. And you use the word ‘lodestar’ way too frequently. https://t.co/qOcDT49gpA,AZGOP
78,2021-01-13 03:19:43+00:00,1349194386584653825,Well if the neocon #NeverTrumper says so then it must be gospel. https://t.co/aW9FbXg4HL,AZGOP
79,2021-01-13 02:16:42+00:00,1349178530303594503,"The word on the streets is that MORE Americans have GREATER love for President Trump today than they did on November 3, 2020 - Wow!",AZGOP
80,2021-01-13 00:49:54+00:00,1349156685416255488,"SHOCK 😱 Fmr @dougducey press secretary calls Arizona GOP state committeemen “dangerous people.” 

This is an attack on conservative activists and leaders in our Party who are elected at the local level.

Offensive rhetoric like this divides Arizonans and debases civil discourse. https://t.co/hMSm7PdoTH",AZGOP
81,2021-01-12 23:49:03+00:00,1349141371341324289,"After today's disturbing behavior by some in the press to jeopardize the safety of our members, we will be forced to re-evaluate whether it is appropriate to provide VIP media access credentials for our state meeting on January 23. COVID, and such, too. Really difficult decision!",AZGOP
82,2021-01-12 23:21:12+00:00,1349134362076344320,"Why would the media put members of our Party at risk of harm from violent protesters by widely publicizing the location of our private (""members-only"") meeting place? Don't worry, Republicans, law enforcement - who we all love, honor, and respect - will keep you safe!",AZGOP
83,2021-01-12 21:03:02+00:00,1349099593678475265,"Some will never understand, or try really hard not to, that laws allow for any resolution to be heard by the body. They then receive a simple 👍 or 👎 vote. Censures are not fun for anyone - just ask @kyrstensinema who narrowly dodged one. We will vote! #DemocracyMatters",AZGOP
84,2021-01-12 20:52:36+00:00,1349096967071100928,"Please pray that @AdotSad is right! It would be a terrible tragedy, fueled by media malpractice, if he’s wrong. 🙏 https://t.co/3D6pe8QWNo",AZGOP
85,2021-01-12 20:16:41+00:00,1349087927331000320,We will be meeting at a CHURCH! All those who wish to engage in acts of intimidation and violence against our members will not have authority to enter.,AZGOP
86,2021-01-12 20:05:01+00:00,1349084992933019648,"Reporters have put our Party’s members at risk of attack from violent assailants by publishing what was the undisclosed location of our upcoming state meeting. Very irresponsible on the part of the #FakeNews. Security will be present. Antifa (and others), stay home!",AZGOP
87,2021-01-12 18:28:00+00:00,1349060575007891457,BINGO ⤵️ https://t.co/9p74RQrYwF,AZGOP
